노선ID,노선명,순번,구간ID,정류소ID,정류소명,X좌표,Y좌표
100100411,6000,1,0,115000073,개화검문소,126.7997884498,37.5784942626
100100411,6000,2,115600017,115000600,김포공항국제선,126.801935005,37.565706006
100100411,6000,3,115603282,115000603,김포공항국내선,126.8044802852,37.5585727001
100100411,6000,4,115600020,115000634,송정역,126.8095961346,37.5613708422
100100411,6000,5,115602259,115000896,마곡역,126.8260392049,37.5596940503
100100411,6000,6,115606821,115000893,발산역,126.8376109437,37.5585733533
100100411,6000,7,115602084,115000593,한국가스기술공사,126.843257,37.557872
100100411,6000,8,115600025,115000591,KBS스포츠월드,126.84923323,37.5569118315
100100411,6000,9,115600027,115000589,강서구청사거리.서울디지털대학교,126.8540843129,37.5552355847
100100411,6000,10,115600029,115000006,등촌중학교 백석초등학교,126.8605244195,37.5528653812
100100411,6000,11,114600001,115000004,등촌역.강서보건소,126.8675998318,37.5494106214
100100411,6000,12,115600032,115000002,염창역.서울도시가스,126.8750578709,37.5468551335
100100411,6000,13,121600003,121000020,고속터미널,127.003792583,37.5057382586
100100411,6000,14,121600006,121000018,반포역,127.0110398687,37.5079040519
100100411,6000,15,121600008,121000525,논현사거리,127.0198045684,37.5104503209
100100411,6000,16,121600010,121000013,논현역,127.0230319441,37.5072264964
100100411,6000,17,121600012,121000011,지하철2호선강남역,127.025438,37.501817
100100411,6000,18,121600014,122000606,강남역,127.0301126142,37.4983670689
100100411,6000,19,122600002,122000604,역삼역,127.0348815674,37.4998687965
100100411,6000,20,122600004,122000602,토마토저축은행.르네상스호텔,127.0443408136,37.5027725812
100100411,6000,21,122600006,122000600,선릉역,127.0507925638,37.5047424957
100100411,6000,22,122600007,122000598,포스코사거리,127.0550656528,37.5060715084
100100411,6000,23,122600009,122000582,삼성역,127.0610359891,37.5078996127
100100411,6000,24,123600001,123000488,잠실종합운동장,127.0724640283,37.510440568
100100411,6000,25,123600003,123000490,잠실주공1단지,127.07949095,37.5115831496
100100411,6000,26,123600004,123000504,신천역,127.0836048934,37.5114109026
100100411,6000,27,123600006,123000396,잠실2.3단지,127.088092125,37.5112526521
100100411,6000,28,123600009,123000491,잠실롯데월드,127.0991373541,37.5098039398
100100411,6000,29,123600012,123000492,잠실역,127.096996375,37.5126667117
100100411,6000,30,123603109,123000503,잠실주공2.3단지,127.0880802157,37.5117068158
100100411,6000,31,123600016,123000440,잠실새내역,127.0829040944,37.5118961887
100100411,6000,32,123600017,123000489,잠실주공1단지,127.0794337445,37.5120409472
100100411,6000,33,123600019,123000487,잠실종합운동장,127.0721954509,37.5111066459
100100411,6000,34,122600014,122000597,삼성역,127.0610138468,37.5084898455
100100411,6000,35,122600016,122000599,포스코사거리,127.0551984022,37.5066283272
100100411,6000,36,122600017,122000601,선릉역,127.0505621601,37.5052436071
100100411,6000,37,122600019,122000603,LG데이콤(르네상스호텔),127.0441001779,37.5032475521
100100411,6000,38,122600022,122000605,역삼역,127.0348444801,37.5003770293
100100411,6000,39,122600024,122000607,강남역12번출구,127.0293968328,37.4987123716
100100411,6000,40,122605214,121000012,지하철2호선강남역,127.02637,37.500785
100100411,6000,41,121600017,121000014,논현역,127.023728,37.506367
100100411,6000,42,121600019,121000526,논현사거리,127.0200501302,37.5108143243
100100411,6000,43,121600021,121000017,반포역,127.0121292217,37.5083418804
100100411,6000,44,121600024,121000019,고속터미널,127.0052834138,37.5062923789
100100411,6000,45,121600026,121000021,신반포역,126.9958263651,37.5034152049
100100411,6000,46,121600027,121000023,구반포역,126.9900264523,37.5019451598
100100411,6000,47,119600016,119000279,흑석동,126.9654484836,37.5076760417
100100411,6000,48,114600003,115000001,염창역.서울도시가스,126.8758813624,37.5470974954
100100411,6000,49,115600035,115000003,등촌역.강서보건소,126.8686519482,37.5490054028
100100411,6000,50,115600037,115000005,등촌중학교 백석초등학교,126.8615536765,37.5526278025
100100411,6000,51,115600038,115000588,강서구청사거리.서울디지털대학교,126.8557818766,37.5547564863
100100411,6000,52,115600041,115000590,KBS스포츠월드,126.8504630663,37.5566007161
100100411,6000,53,115600042,115000592,한국가스기술공사,126.8454938402,37.5578531453
100100411,6000,54,115600044,115000594,발산역,126.8391584264,37.5584907687
100100411,6000,55,115606822,115000895,마곡역,126.827513,37.559695
100100411,6000,56,115600047,115000633,송정역,126.811072238,37.561349785
100100411,6000,57,115603104,115000547,김포공항국제선,126.8021756851,37.5658713092
100100411,6000,58,115603266,115000520,김포공항국내선,126.8036809737,37.5595085098
100100412,6001,1,0,129000083,인천국제공항,126.4512826451,37.4486293451
100100412,6001,2,129600198,274109998,공항입국장진입1(경유),126.4493489201,37.4451851667
